Origin,Destination,Departure (local),Arrival (local)
Laem Chabang,Ho Chi Minh City,2026-09-01 08:00,2026-09-02 19:00
Bangkok,Ho Chi Minh City,2026-09-07 15:00,2026-09-09 19:00
Laem Chabang,Ho Chi Minh City,2026-09-08 08:00,2026-09-09 19:00
Bangkok,Ho Chi Minh City,2026-09-14 15:00,2026-09-16 19:00
Laem Chabang,Ho Chi Minh City,2026-09-15 08:00,2026-09-16 19:00
Bangkok,Ho Chi Minh City,2026-09-21 15:00,2026-09-23 19:00
Laem Chabang,Ho Chi Minh City,2026-09-22 08:00,2026-09-23 19:00
Bangkok,Ho Chi Minh City,2026-09-28 15:00,2026-09-30 19:00
Laem Chabang,Ho Chi Minh City,2026-09-29 08:00,2026-09-30 19:00
Bangkok,Ho Chi Minh City,2026-10-05 15:00,2026-10-07 19:00
Laem Chabang,Ho Chi Minh City,2026-10-06 08:00,2026-10-07 19:00
Bangkok,Ho Chi Minh City,2026-10-12 15:00,2026-10-14 19:00
Laem Chabang,Ho Chi Minh City,2026-10-13 08:00,2026-10-14 19:00
Bangkok,Ho Chi Minh City,2026-10-19 15:00,2026-10-21 19:00
Laem Chabang,Ho Chi Minh City,2026-10-20 08:00,2026-10-21 19:00
Bangkok,Ho Chi Minh City,2026-10-26 15:00,2026-10-28 19:00
Laem Chabang,Ho Chi Minh City,2026-10-27 08:00,2026-10-28 19:00
Bangkok,Ho Chi Minh City,2026-11-02 15:00,2026-11-04 19:00
Laem Chabang,Ho Chi Minh City,2026-11-03 08:00,2026-11-04 19:00
Bangkok,Ho Chi Minh City,2026-11-09 15:00,2026-11-11 19:00
Laem Chabang,Ho Chi Minh City,2026-11-10 08:00,2026-11-11 19:00
Bangkok,Ho Chi Minh City,2026-11-16 15:00,2026-11-18 19:00
Laem Chabang,Ho Chi Minh City,2026-11-17 08:00,2026-11-18 19:00
Bangkok,Ho Chi Minh City,2026-11-23 15:00,2026-11-25 19:00
Laem Chabang,Ho Chi Minh City,2026-11-24 08:00,2026-11-25 19:00
Bangkok,Ho Chi Minh City,2026-11-30 15:00,2026-12-02 19:00
Laem Chabang,Ho Chi Minh City,2026-12-01 08:00,2026-12-02 19:00
Bangkok,Ho Chi Minh City,2026-12-07 15:00,2026-12-09 19:00
Laem Chabang,Ho Chi Minh City,2026-12-08 08:00,2026-12-09 19:00
Bangkok,Ho Chi Minh City,2026-12-14 15:00,2026-12-16 19:00
Laem Chabang,Ho Chi Minh City,2026-12-15 08:00,2026-12-16 19:00
Bangkok,Ho Chi Minh City,2026-12-21 15:00,2026-12-23 19:00
Laem Chabang,Ho Chi Minh City,2026-12-22 08:00,2026-12-23 19:00
Bangkok,Ho Chi Minh City,2026-12-28 15:00,2026-12-30 19:00
Laem Chabang,Ho Chi Minh City,2026-12-29 08:00,2026-12-30 19:00
