pol,pod,vessel_voyage,etd,eta,ctd,cta
Bangkok,Ho Chi Minh,SITC DALIAN 2631N,09-19(Sat),09-21(Mon),09-19(Sat),09-21(Mon)
Bangkok,Ho Chi Minh,RESURGENCE 2619N,10-03(Sat),10-05(Mon),10-03(Sat),10-05(Mon)
Bangkok,Ho Chi Minh,SITC HOCHIMINH 2621N,10-10(Sat),10-12(Mon),10-12(Mon),10-13(Tue)
Bangkok,Ho Chi Minh,SITC DALIAN 2633N,10-17(Sat),10-19(Mon),10-19(Mon),2
Bangkok,Ho Chi Minh,ASL TAIPEI 2641N,10-24(Sat),10-27(Tue),10-24(Sat),10-27(Tue)
Bangkok,Ho Chi Minh,RENOWN 2637N,10-24(Sat),10-26(Mon),10-24(Sat),10-26(Mon)
Bangkok,Ho Chi Minh,SITC XIN 2624S,10-31(Sat),11-03(Tue),10-31(Sat),2
Bangkok,Ho Chi Minh,ZHONG GU NAN HAI 2643S,11-07(Sat),11-10(Tue),CTA :,"The schedule is for your reference only. Any question,please contact our local agent.thanks."
Bangkok,Ho Chi Minh,SITC HAINAN 2626S,11-14(Sat),11-17(Tue),CTA :,2
Bangkok,Ho Chi Minh,ASL TAIPEI 2645S,11-21(Sat),11-24(Tue),CTA :,"The schedule is for your reference only. Any question,please contact our local agent.thanks."
Laem Chabang,Ho Chi Minh,DELPHINUS C 0112E,09-15(Tue),09-17(Thur),09-20(Sun),09-22(Tue)
Laem Chabang,Ho Chi Minh,SITC MINGDE 2619N,09-16(Wed),10-09(Fri),09-17(Thur),10-12(Mon)
Laem Chabang,Ho Chi Minh,SITC SHANGDE 2621N,09-18(Fri),09-20(Sun),09-18(Fri),09-20(Sun)
Laem Chabang,Ho Chi Minh,SITC JUNDE 2619N,09-18(Fri),09-19(Sat),09-23(Wed),09-25(Fri)
Laem Chabang,Ho Chi Minh,SITC HAINAN 2623N,09-20(Sun),09-22(Tue),09-20(Sun),09-22(Tue)
Laem Chabang,Ho Chi Minh,BROOKLYN BRIDGE 0184E,09-22(Tue),09-24(Thur),CTA :,7
